session_id,stream_count,song_title_nunique,primary_artist_nunique,album_nunique,session_length,weekday,season,time_of_day_start,first_artist_listen_sum,first_song_listen_sum,first_album_listen_sum,first_listen_any_sum,artist_diversity,album_diversity,song_diversity,first_listen_ratio,cluster_filt
4949,40,36,6,6,1.8147222222222221,thursday,winter,afternoon,0,7,0,7,0.15,0.15,0.9,0.175,2
4950,1,1,1,1,0.0,friday,winter,morning,0,0,0,0,1.0,1.0,1.0,0.0,3
4951,8,8,7,2,0.27444444444444444,friday,winter,morning,5,7,6,7,0.875,0.25,1.0,0.875,1
4952,6,6,2,2,0.4177777777777778,friday,winter,morning,0,1,1,1,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0
4953,6,5,1,1,0.34,saturday,winter,afternoon,0,0,0,0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.0,0
4954,13,13,6,2,0.8955555555555555,saturday,winter,evening,0,1,0,1,0.46153846153846156,0.15384615384615385,1.0,0.07692307692307693,2
4955,5,5,1,1,0.25166666666666665,saturday,winter,afternoon,0,0,0,0,0.2,0.2,1.0,0.0,0
4956,5,5,2,2,0.16972222222222222,saturday,winter,afternoon,0,3,0,3,0.4,0.4,1.0,0.6,1
4957,13,13,1,1,0.4375,sunday,winter,afternoon,0,0,0,0,0.07692307692307693,0.07692307692307693,1.0,0.0,0
4958,8,8,3,3,0.35833333333333334,monday,winter,evening,0,0,0,0,0.375,0.375,1.0,0.0,0
4959,11,10,1,1,0.5419444444444445,tuesday,winter,afternoon,0,0,0,0,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.0,0
4960,1,1,1,1,0.0,wednesday,winter,evening,0,0,0,0,1.0,1.0,1.0,0.0,3
4961,6,6,6,6,0.30916666666666665,wednesday,winter,night,0,1,1,1,1.0,1.0,1.0,0.16666666666666666,3
4962,12,12,2,2,0.47305555555555556,thursday,winter,afternoon,0,5,0,5,0.16666666666666666,0.16666666666666666,1.0,0.4166666666666667,0
4963,17,17,17,17,0.715,friday,winter,afternoon,1,7,5,7,1.0,1.0,1.0,0.4117647058823529,3
4964,6,6,6,6,0.36583333333333334,sunday,winter,late  night,0,0,0,0,1.0,1.0,1.0,0.0,3
4965,1,1,1,1,0.0,sunday,winter,late  night,0,0,0,0,1.0,1.0,1.0,0.0,3
4966,10,10,1,1,0.36583333333333334,monday,winter,afternoon,0,0,0,0,0.1,0.1,1.0,0.0,0
4967,9,9,1,1,0.35444444444444445,monday,winter,afternoon,0,0,0,0,0.1111111111111111,0.1111111111111111,1.0,0.0,0
4968,9,9,7,8,0.4197222222222222,monday,winter,evening,0,2,2,2,0.7777777777777778,0.8888888888888888,1.0,0.2222222222222222,3
4969,3,3,1,1,0.09555555555555556,tuesday,winter,evening,0,3,1,3,0.3333333333333333,0.3333333333333333,1.0,1.0,1
4970,11,11,1,1,0.8069444444444445,tuesday,winter,evening,0,10,0,10,0.09090909090909091,0.09090909090909091,1.0,0.9090909090909091,2
4971,4,4,1,1,0.13722222222222222,tuesday,winter,afternoon,0,0,0,0,0.25,0.25,1.0,0.0,0
4972,10,10,3,3,0.6283333333333333,wednesday,winter,evening,2,6,2,6,0.3,0.3,1.0,0.6,0
4973,1,1,1,1,0.0,wednesday,winter,evening,0,0,0,0,1.0,1.0,1.0,0.0,3
4974,8,8,1,1,0.2986111111111111,thursday,winter,afternoon,0,0,0,0,0.125,0.125,1.0,0.0,0
4975,18,17,1,1,0.9777777777777777,friday,winter,evening,0,0,0,0,0.05555555555555555,0.05555555555555555,0.9444444444444444,0.0,0
4976,11,11,5,3,0.6347222222222222,friday,winter,afternoon,0,0,0,0,0.45454545454545453,0.2727272727272727,1.0,0.0,0
4977,4,4,4,4,0.18083333333333335,friday,winter,afternoon,0,1,0,1,1.0,1.0,1.0,0.25,3
4978,3,3,3,3,0.16527777777777777,saturday,winter,afternoon,0,0,0,0,1.0,1.0,1.0,0.0,3
4979,2,2,2,2,0.06444444444444444,saturday,winter,evening,0,0,0,0,1.0,1.0,1.0,0.0,3
4980,32,32,9,2,1.8977777777777778,saturday,winter,morning,0,0,0,0,0.28125,0.0625,1.0,0.0,2
4981,26,26,3,3,2.0008333333333335,saturday,winter,morning,0,0,0,0,0.11538461538461539,0.11538461538461539,1.0,0.0,2
4982,4,4,1,1,0.09388888888888888,saturday,winter,afternoon,0,0,0,0,0.25,0.25,1.0,0.0,0
4983,2,2,2,2,0.05583333333333333,sunday,winter,afternoon,0,1,1,1,1.0,1.0,1.0,0.5,3
4984,17,17,4,2,1.1611111111111112,monday,winter,evening,0,0,0,0,0.23529411764705882,0.11764705882352941,1.0,0.0,2
4985,1,1,1,1,0.0,monday,winter,evening,0,0,0,0,1.0,1.0,1.0,0.0,3
4986,12,12,2,2,0.5794444444444444,tuesday,winter,afternoon,0,7,0,7,0.16666666666666666,0.16666666666666666,1.0,0.5833333333333334,0
4987,4,4,1,1,0.1411111111111111,tuesday,winter,afternoon,0,0,0,0,0.25,0.25,1.0,0.0,0
4988,6,6,3,3,0.24222222222222223,tuesday,winter,evening,0,0,0,0,0.5,0.5,1.0,0.0,0
4989,3,3,1,1,0.13777777777777778,tuesday,winter,evening,0,0,0,0,0.3333333333333333,0.3333333333333333,1.0,0.0,0
4990,3,3,1,1,0.09472222222222222,tuesday,winter,evening,0,0,0,0,0.3333333333333333,0.3333333333333333,1.0,0.0,0
4991,6,6,1,6,0.3269444444444444,tuesday,winter,night,0,1,0,1,0.16666666666666666,1.0,1.0,0.16666666666666666,0
4992,3,3,2,3,0.11055555555555556,tuesday,winter,afternoon,0,2,2,2,0.6666666666666666,1.0,1.0,0.6666666666666666,1
4993,2,2,1,2,0.06555555555555556,tuesday,winter,afternoon,0,2,2,2,0.5,1.0,1.0,1.0,1
4994,3,2,2,2,0.10472222222222222,tuesday,winter,afternoon,1,1,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0
4995,17,17,15,12,1.1352777777777778,wednesday,winter,afternoon,1,1,1,1,0.8823529411764706,0.7058823529411765,1.0,0.058823529411764705,2
4996,3,3,1,1,0.17333333333333334,wednesday,winter,afternoon,0,0,0,0,0.3333333333333333,0.3333333333333333,1.0,0.0,0
4997,6,6,6,6,0.2863888888888889,wednesday,winter,morning,2,6,6,6,1.0,1.0,1.0,1.0,1
4998,1,1,1,1,0.0,wednesday,winter,morning,0,0,0,0,1.0,1.0,1.0,0.0,3
4999,11,11,11,7,0.6783333333333333,thursday,winter,afternoon,0,0,0,0,1.0,0.6363636363636364,1.0,0.0,3
5000,6,6,2,5,0.36027777777777775,thursday,winter,afternoon,0,1,0,1,0.3333333333333333,0.8333333333333334,1.0,0.16666666666666666,0
5001,11,11,1,1,0.5361111111111111,friday,winter,night,0,0,0,0,0.09090909090909091,0.09090909090909091,1.0,0.0,0
5002,10,10,4,4,0.4675,friday,winter,afternoon,0,10,2,10,0.4,0.4,1.0,1.0,1
5003,16,16,2,2,0.8602777777777778,saturday,winter,afternoon,1,1,1,1,0.125,0.125,1.0,0.0625,0
5004,26,23,3,4,1.3969444444444445,saturday,winter,evening,0,19,3,19,0.11538461538461539,0.15384615384615385,0.8846153846153846,0.7307692307692307,2
5005,14,14,6,9,0.715,saturday,winter,night,0,0,0,0,0.42857142857142855,0.6428571428571429,1.0,0.0,0
5006,10,10,8,9,0.6111111111111112,saturday,winter,afternoon,1,3,1,3,0.8,0.9,1.0,0.3,3
5007,2,2,2,2,0.09388888888888888,saturday,winter,afternoon,0,0,0,0,1.0,1.0,1.0,0.0,3
5008,17,17,12,11,1.185,saturday,winter,afternoon,0,1,0,1,0.7058823529411765,0.6470588235294118,1.0,0.058823529411764705,2
5009,5,5,3,4,0.2313888888888889,monday,winter,afternoon,0,0,0,0,0.6,0.8,1.0,0.0,3
5010,1,1,1,1,0.0,monday,winter,afternoon,0,0,0,0,1.0,1.0,1.0,0.0,3
5011,5,5,5,5,0.18833333333333332,monday,winter,afternoon,0,0,0,0,1.0,1.0,1.0,0.0,3
5012,11,11,11,11,0.49472222222222223,monday,winter,night,7,11,11,11,1.0,1.0,1.0,1.0,1
5013,2,2,2,2,0.02861111111111111,tuesday,winter,evening,0,2,2,2,1.0,1.0,1.0,1.0,1
5014,1,1,1,1,0.0,friday,winter,morning,0,1,1,1,1.0,1.0,1.0,1.0,1
5015,6,6,1,1,0.3552777777777778,friday,winter,morning,0,6,0,6,0.16666666666666666,0.16666666666666666,1.0,1.0,1
5016,15,15,8,8,0.8166666666666667,saturday,winter,morning,0,2,0,2,0.5333333333333333,0.5333333333333333,1.0,0.13333333333333333,0
5017,2,2,1,1,0.09,saturday,winter,afternoon,0,0,0,0,0.5,0.5,1.0,0.0,0
5018,9,9,5,9,0.5205555555555555,sunday,winter,morning,1,3,2,3,0.5555555555555556,1.0,1.0,0.3333333333333333,0
5019,13,13,13,10,0.7755555555555556,monday,winter,night,0,0,0,0,1.0,0.7692307692307693,1.0,0.0,3
5020,1,1,1,1,0.0,tuesday,winter,evening,0,0,0,0,1.0,1.0,1.0,0.0,3
5021,15,15,2,5,0.8347222222222223,tuesday,winter,evening,0,0,0,0,0.13333333333333333,0.3333333333333333,1.0,0.0,0
5022,2,2,1,1,0.05638888888888889,wednesday,winter,afternoon,0,0,0,0,0.5,0.5,1.0,0.0,0
5023,6,6,1,1,0.2902777777777778,wednesday,winter,afternoon,0,0,0,0,0.16666666666666666,0.16666666666666666,1.0,0.0,0
5024,16,15,1,1,0.8275,wednesday,winter,evening,0,0,0,0,0.0625,0.0625,0.9375,0.0,0
5025,2,2,2,2,0.05611111111111111,wednesday,winter,evening,2,2,2,2,1.0,1.0,1.0,1.0,1
5026,1,1,1,1,0.0,wednesday,winter,afternoon,0,0,0,0,1.0,1.0,1.0,0.0,3
5027,15,15,2,2,0.8558333333333333,wednesday,winter,afternoon,0,0,0,0,0.13333333333333333,0.13333333333333333,1.0,0.0,0
5028,5,5,2,2,0.23805555555555555,thursday,winter,afternoon,0,0,0,0,0.4,0.4,1.0,0.0,0
5029,19,19,1,8,1.0794444444444444,thursday,winter,evening,0,0,0,0,0.05263157894736842,0.42105263157894735,1.0,0.0,2
5030,4,4,1,3,0.16583333333333333,tuesday,winter,evening,0,0,0,0,0.25,0.75,1.0,0.0,0
5031,10,10,1,6,0.4866666666666667,tuesday,winter,evening,0,0,0,0,0.1,0.6,1.0,0.0,0
5032,2,2,2,2,0.049166666666666664,wednesday,winter,afternoon,1,2,1,2,1.0,1.0,1.0,1.0,1
5033,8,8,3,6,0.2725,thursday,winter,evening,0,0,0,0,0.375,0.75,1.0,0.0,0
5034,19,19,14,16,1.07,thursday,winter,evening,0,2,1,2,0.7368421052631579,0.8421052631578947,1.0,0.10526315789473684,2
5035,1,1,1,1,0.0,thursday,winter,morning,0,0,0,0,1.0,1.0,1.0,0.0,3
5036,11,10,1,1,0.6775,friday,winter,evening,1,10,1,10,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.9090909090909091,0
5037,1,1,1,1,0.0,saturday,winter,afternoon,0,0,0,0,1.0,1.0,1.0,0.0,3
5038,16,16,13,13,0.8819444444444444,saturday,winter,morning,5,10,9,10,0.8125,0.8125,1.0,0.625,1
5039,7,7,3,7,0.24805555555555556,monday,winter,morning,0,2,2,2,0.42857142857142855,1.0,1.0,0.2857142857142857,0
5040,10,10,10,10,0.5761111111111111,tuesday,winter,evening,0,3,2,3,1.0,1.0,1.0,0.3,3
5041,1,1,1,1,0.0,tuesday,winter,night,1,1,1,1,1.0,1.0,1.0,1.0,1
5042,1,1,1,1,0.0,tuesday,winter,morning,0,1,1,1,1.0,1.0,1.0,1.0,1
5043,4,4,3,3,0.16833333333333333,tuesday,winter,afternoon,1,2,2,2,0.75,0.75,1.0,0.5,1
5044,2,2,2,2,0.052222222222222225,wednesday,winter,afternoon,0,1,1,1,1.0,1.0,1.0,0.5,3
5045,9,9,3,3,0.2961111111111111,wednesday,winter,evening,1,8,2,8,0.3333333333333333,0.3333333333333333,1.0,0.8888888888888888,1
5046,9,9,2,6,0.4691666666666667,wednesday,winter,night,0,0,0,0,0.2222222222222222,0.6666666666666666,1.0,0.0,0
5047,10,10,3,3,0.5125,wednesday,winter,morning,2,9,2,9,0.3,0.3,1.0,0.9,1
5048,7,7,2,4,0.35194444444444445,thursday,winter,night,0,0,0,0,0.2857142857142857,0.5714285714285714,1.0,0.0,0
5049,9,9,4,5,0.4411111111111111,friday,winter,night,0,4,0,4,0.4444444444444444,0.5555555555555556,1.0,0.4444444444444444,0
5050,18,17,10,7,0.7988888888888889,saturday,winter,afternoon,3,17,10,17,0.5555555555555556,0.3888888888888889,0.9444444444444444,0.9444444444444444,1
5051,5,5,2,2,0.23444444444444446,saturday,winter,afternoon,0,4,1,4,0.4,0.4,1.0,0.8,1
5052,5,5,1,1,0.21,saturday,winter,morning,0,2,0,2,0.2,0.2,1.0,0.4,0
5053,1,1,1,1,0.0,saturday,winter,morning,0,1,0,1,1.0,1.0,1.0,1.0,1
5054,1,1,1,1,0.0,saturday,winter,morning,0,1,0,1,1.0,1.0,1.0,1.0,1
5055,5,5,3,3,0.18722222222222223,saturday,winter,morning,0,4,0,4,0.6,0.6,1.0,0.8,1
5056,1,1,1,1,0.0,saturday,winter,morning,0,0,0,0,1.0,1.0,1.0,0.0,3
5057,2,2,1,1,0.05722222222222222,saturday,winter,morning,0,0,0,0,0.5,0.5,1.0,0.0,0
5058,10,10,1,1,0.5369444444444444,saturday,winter,afternoon,0,0,0,0,0.1,0.1,1.0,0.0,0
5059,11,11,4,4,0.4638888888888889,sunday,winter,afternoon,0,1,0,1,0.36363636363636365,0.36363636363636365,1.0,0.09090909090909091,0
5060,4,4,2,2,0.14583333333333334,sunday,winter,afternoon,0,0,0,0,0.5,0.5,1.0,0.0,0
5061,5,5,5,5,0.18888888888888888,sunday,winter,evening,3,5,5,5,1.0,1.0,1.0,1.0,1
5062,5,5,4,5,0.2722222222222222,sunday,winter,afternoon,1,2,2,2,0.8,1.0,1.0,0.4,3
5063,15,15,2,2,0.8669444444444444,monday,winter,afternoon,0,1,1,1,0.13333333333333333,0.13333333333333333,1.0,0.06666666666666667,0
5064,9,9,1,1,0.5352777777777777,monday,winter,morning,0,0,0,0,0.1111111111111111,0.1111111111111111,1.0,0.0,0
5065,10,10,5,9,0.5511111111111111,tuesday,winter,afternoon,0,0,0,0,0.5,0.9,1.0,0.0,0
5066,3,2,1,1,0.14527777777777778,tuesday,winter,evening,0,1,0,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0
5067,2,2,1,1,0.08527777777777777,tuesday,winter,evening,0,0,0,0,0.5,0.5,1.0,0.0,0
5068,10,10,3,3,0.36194444444444446,tuesday,winter,late  night,0,1,1,1,0.3,0.3,1.0,0.1,0
5069,6,6,1,3,0.29833333333333334,tuesday,winter,morning,0,0,0,0,0.16666666666666666,0.5,1.0,0.0,0
